user_id,meal,rating,meal_id
1,Putengeschnetzeltes Züricher Art mit Champignons,4,67391
1,Geriebener Emmentaler,5,67272
1,Blumenkohl-Käse-Medaillon,4,67324
1,Frühlingsrolle mit Gemüsefüllung,4,67310
1,Riesen-Currywurst mit Currysoße,5,67281
1,"Bratwurst ""Thüringer Art""",4,4867
1,Blumenkohl im Backteig,4,67257
1,Spirelli,5,67271
1,Rucola-Süßkartoffel Schnitte,3,67320
1,Rührei mit Kräutern,2,67263
1,Hähnchen-Crossies,4,67357
1,Eierkuchen mit Apfelmus,2,67322
1,Spaghetti,4,67410
1,Gemüseschnitzel mit Mozzarella überbacken,4,67286
1,Kartoffeltaschen mit Frischkäse gefüllt,5,67318
1,Wurstgulasch,5,67270
1,Geriebener Gouda,5,67548
1,Paniertes Hähnchenbrustfilet,4,67254
1,Mozzarella-Sticks,3,67370
1,Kaiserschmarrn mit Apfelmus,2,67261
1,Schnitzel,1,123
1,Bocker,5,123
2,Putengeschnetzeltes Züricher Art mit Champignons,4,67391
2,Geriebener Emmentaler,1,67272
2,Blumenkohl-Käse-Medaillon,3,67324
2,Frühlingsrolle mit Gemüsefüllung,5,67310
2,Riesen-Currywurst mit Currysoße,1,67281
2,"Bratwurst ""Thüringer Art""",2,4867
2,Blumenkohl im Backteig,3,67257
2,Spirelli,5,67271
2,Rucola-Süßkartoffel Schnitte,3,67320
2,Rührei mit Kräutern,2,67263
2,Schnitzel,4,123
2,Hähnchen-Crossies,2,67357
2,Eierkuchen mit Apfelmus,2,67322
2,Spaghetti,3,67410
2,Gemüseschnitzel mit Mozzarella überbacken,4,67286
2,Kartoffeltaschen mit Frischkäse gefüllt,5,67318
2,Wurstgulasch,5,67270
2,Geriebener Gouda,3,67548
2,Paniertes Hähnchenbrustfilet,4,67254
2,Mozzarella-Sticks,3,67370
2,Kaiserschmarrn mit Apfelmus,2,67261
3,Putengeschnetzeltes Züricher Art mit Champignons,4,67391
3,Geriebener Emmentaler,1,67272
3,Blumenkohl-Käse-Medaillon,3,67324
3,Frühlingsrolle mit Gemüsefüllung,5,67310
3,Riesen-Currywurst mit Currysoße,1,67281
3,"Bratwurst ""Thüringer Art""",2,4867
3,Blumenkohl im Backteig,3,67257
3,Spirelli,5,67271
3,Rucola-Süßkartoffel Schnitte,3,67320
3,Rührei mit Kräutern,2,67263
3,Schnitzel,4,123
3,Hähnchen-Crossies,2,67357
3,Eierkuchen mit Apfelmus,2,67322
3,Spaghetti,3,67410
3,Gemüseschnitzel mit Mozzarella überbacken,4,67286
3,Kartoffeltaschen mit Frischkäse gefüllt,5,67318
3,Wurstgulasch,5,67270
3,Geriebener Gouda,3,67548
3,Paniertes Hähnchenbrustfilet,4,67254
3,Mozzarella-Sticks,3,67370
3,Kaiserschmarrn mit Apfelmus,2,67261
3,Bocker,2,123
